minute,value,match_id
108.0,8,12813013
109.0,-42,12813013
110.0,-12,12813013
111.0,12,12813013
112.0,10,12813013
113.0,-35,12813013
114.0,-12,12813013
115.0,-21,12813013
116.0,-9,12813013
117.0,-15,12813013
118.0,68,12813013
119.0,29,12813013
120.0,11,12813013
120.5,-15,12813013
1.0,6,12812992
2.0,-23,12812992
3.0,-5,12812992
4.0,7,12812992
5.0,40,12812992
6.0,54,12812992
7.0,38,12812992
8.0,25,12812992
9.0,35,12812992
10.0,16,12812992
11.0,14,12812992
12.0,-51,12812992
13.0,-20,12812992
14.0,-4,12812992
15.0,10,12812992
16.0,41,12812992
17.0,30,12812992
18.0,30,12812992
19.0,25,12812992
20.0,53,12812992
21.0,15,12812992
22.0,13,12812992
23.0,33,12812992
24.0,24,12812992
25.0,16,12812992
26.0,15,12812992
27.0,13,12812992
28.0,14,12812992
29.0,12,12812992
30.0,8,12812992
31.0,7,12812992
32.0,8,12812992
33.0,8,12812992
34.0,-15,12812992
35.0,-12,12812992
36.0,-19,12812992
37.0,-7,12812992
38.0,18,12812992
39.0,15,12812992
40.0,15,12812992
41.0,30,12812992
42.0,27,12812992
43.0,31,12812992
44.0,21,12812992
45.0,18,12812992
45.5,27,12812992
46.0,5,12812992
47.0,20,12812992
48.0,17,12812992
49.0,70,12812992
50.0,33,12812992
51.0,10,12812992
52.0,-5,12812992
53.0,-1,12812992
54.0,-6,12812992
55.0,-3,12812992
56.0,-8,12812992
57.0,18,12812992
58.0,1,12812992
59.0,-10,12812992
60.0,-16,12812992
61.0,-18,12812992
62.0,-14,12812992
63.0,-10,12812992
64.0,-7,12812992
65.0,-16,12812992
66.0,-14,12812992
67.0,-45,12812992
68.0,-78,12812992
69.0,-48,12812992
70.0,-25,12812992
71.0,-16,12812992
72.0,-5,12812992
73.0,-2,12812992
74.0,-31,12812992
75.0,-7,12812992
76.0,-19,12812992
77.0,-25,12812992
78.0,17,12812992
79.0,18,12812992
80.0,2,12812992
81.0,19,12812992
82.0,34,12812992
83.0,15,12812992
84.0,5,12812992
85.0,-11,12812992
86.0,16,12812992
87.0,-19,12812992
88.0,-13,12812992
89.0,-12,12812992
90.0,-21,12812992
90.5,-32,12812992
1.0,-3,12813004
2.0,21,12813004
3.0,8,12813004
4.0,1,12813004
5.0,-16,12813004
6.0,10,12813004
7.0,10,12813004
8.0,28,12813004
9.0,33,12813004
10.0,66,12813004
11.0,58,12813004
12.0,77,12813004
13.0,52,12813004
14.0,25,12813004
15.0,20,12813004
16.0,11,12813004
17.0,4,12813004
18.0,4,12813004
19.0,16,12813004
20.0,11,12813004
21.0,9,12813004
22.0,7,12813004
23.0,6,12813004
24.0,18,12813004
25.0,13,12813004
26.0,10,12813004
27.0,9,12813004
28.0,8,12813004
29.0,21,12813004
30.0,37,12813004
31.0,34,12813004
32.0,29,12813004
33.0,56,12813004
34.0,99,12813004
35.0,23,12813004
36.0,27,12813004
37.0,42,12813004
38.0,15,12813004
39.0,30,12813004
40.0,27,12813004
41.0,42,12813004
42.0,54,12813004
43.0,55,12813004
44.0,38,12813004
45.0,24,12813004
45.5,68,12813004
46.0,-11,12813004
47.0,7,12813004
48.0,11,12813004
49.0,19,12813004
50.0,12,12813004
51.0,30,12813004
52.0,60,12813004
53.0,48,12813004
54.0,43,12813004
55.0,62,12813004
56.0,42,12813004
57.0,31,12813004
58.0,21,12813004
59.0,17,12813004
60.0,3,12813004
61.0,-41,12813004
62.0,-24,12813004
63.0,-8,12813004
64.0,8,12813004
65.0,10,12813004
66.0,13,12813004
67.0,26,12813004
68.0,19,12813004
69.0,16,12813004
70.0,45,12813004
71.0,32,12813004
72.0,29,12813004
73.0,31,12813004
74.0,4,12813004
75.0,10,12813004
76.0,3,12813004
77.0,-11,12813004
78.0,46,12813004
79.0,25,12813004
80.0,-31,12813004
81.0,20,12813004
82.0,-38,12813004
83.0,-29,12813004
84.0,-6,12813004
85.0,15,12813004
86.0,34,12813004
87.0,23,12813004
88.0,12,12813004
89.0,35,12813004
90.0,20,12813004
90.5,11,12813004
1.0,2,12812997
2.0,3,12812997
3.0,-22,12812997
4.0,42,12812997
5.0,24,12812997
6.0,11,12812997
7.0,30,12812997
8.0,55,12812997
9.0,29,12812997
10.0,-30,12812997
11.0,-4,12812997
12.0,10,12812997
13.0,4,12812997
14.0,1,12812997
15.0,1,12812997
16.0,-1,12812997
17.0,53,12812997
18.0,31,12812997
19.0,-21,12812997
20.0,17,12812997
21.0,26,12812997
22.0,28,12812997
23.0,65,12812997
24.0,81,12812997
25.0,46,12812997
26.0,37,12812997
27.0,20,12812997
28.0,12,12812997
29.0,-8,12812997
30.0,32,12812997
31.0,27,12812997
32.0,42,12812997
33.0,48,12812997
34.0,55,12812997
35.0,36,12812997
36.0,42,12812997
37.0,35,12812997
38.0,31,12812997
39.0,25,12812997
40.0,-18,12812997
41.0,48,12812997
42.0,29,12812997
43.0,19,12812997
44.0,14,12812997
45.0,12,12812997
45.5,5,12812997
46.0,3,12812997
47.0,2,12812997
48.0,-2,12812997
49.0,-48,12812997
50.0,-27,12812997
